DEPT_ID,STATE_NAME,2022,dttm
CA-AB,Alberta,"459288",11/13/2023
CA-BC,British Columbia,"395215",11/13/2023
CA-MB,Manitoba,"86531",11/13/2023
CA-NB,New Brunswick,"44501",11/13/2023
CA-NL,Newfoundland and Labrador,"40720",11/13/2023
CA-NS,Nova Scotia,"54,383",11/13/2023
CA-NT,Northwest Terriories,"5574",11/13/2023
CA-NU,Nunavut,"4753",11/13/2023
CA-ON,Ontario,"1048258",11/13/2023
CA-PE,Prince Edward Island,"9376",11/13/2023
CA-QC,Quebec,"545594",11/13/2023
CA-SK,Saskatchewan,"114412",11/13/2023
CA-YT,Yukon,"3930",11/13/2023