DEPT_ID,NAME,2020,dttm
JP-46,Kagoshima,52,11/10/2023
JP-44,Oita,51.7,11/10/2023
JP-40,Fukuoka,47.4,11/10/2023
JP-41,Saga,49.8,11/10/2023
JP-42,Nagasaki,52.2,11/10/2023
JP-43,Kumamoto,50.4,11/10/2023
JP-45,Miyazaki,51.4,11/10/2023
JP-36,Tokushima,52.9,11/10/2023
JP-37,Kagawa,50.3,11/10/2023
JP-38,Ehime,52,11/10/2023
JP-39,Kochi,53.6,11/10/2023
JP-32,Shimane,52.3,11/10/2023
JP-35,Yamaguchi,52.4,11/10/2023
JP-31,Tottori,51,11/10/2023
JP-28,Hyogo,49.1,11/10/2023
JP-26,Kyoto,48.7,11/10/2023
JP-18,Fukui,49.9,11/10/2023
JP-17,Ishikawa,49,11/10/2023
JP-16,Toyama,51.1,11/10/2023
JP-15,Niigata,51.8,11/10/2023
JP-06,Yamagata,53,11/10/2023
JP-05,Akita,56.6,11/10/2023
JP-02,Aomori,53.5,11/10/2023
JP-03,Iwate,53,11/10/2023
JP-04,Miyagi,48.3,11/10/2023
JP-07,Fukushima,51.7,11/10/2023
JP-08,Ibaraki,49.5,11/10/2023
JP-12,Chiba,48,11/10/2023
JP-13,Tokyo,45.3,11/10/2023
JP-14,Kanagawa,47.4,11/10/2023
JP-22,Shizuoka,49.7,11/10/2023
JP-23,Aichi,46.4,11/10/2023
JP-24,Mie,49.7,11/10/2023
JP-30,Wakayama,52.3,11/10/2023
JP-27,osaka,47.8,11/10/2023
JP-33,Okayama,49.1,11/10/2023
JP-34,Hiroshima,48.7,11/10/2023
JP-01,Hokkaido,51.4,11/10/2023
JP-47,Okinawa,44,11/10/2023
JP-10,Gunma,49.7,11/10/2023
JP-20,Nagano,51.1,11/10/2023
JP-09,Tochigi,49.1,11/10/2023
JP-21,Gifu,49.8,11/10/2023
JP-25,Shiga,46.8,11/10/2023
JP-11,Saitama,47.8,11/10/2023
JP-19,Yamanashi,51,11/10/2023
JP-29,Nara,50.7,11/10/2023